Samp,StructID_noflag,SampType,Pop,1_in_het_introgress,1_h_introgress,2_in_het_introgress,2_h_introgress,3_in_het_introgress,3_h_introgress,class_nh_50,FLB_LMB_stru,ALB_stru,REB_stru,CHB_stru,SHB_stru,Newhyb Run1?,Newhybs1_assign,Newhyb Run2?,Newhybs2_assign,Newhyb Run3?,Newhybs3_assign,No Newhyb?
FWC_LMB_10,LMBFLB,refLMBFLB,,,,,,,,,0.988,0.003,0.002,0.003,0.004,,,,,,,
FWC_LMB_11,LMBFLB,refLMBFLB,,,,,,,,,0.9948,0.001,0.001,0.0012,0.002,,,,,,,
FWC_LMB_12,LMBFLB,refLMBFLB,,,,,,,,,0.995,0.001,0.001,0.002,0.001,,,,,,,
FWC_LMB_13,LMBFLB,refLMBFLB,,,,,,,,,0.9935,0.002,0.001,0.0015,0.002,,,,,,,
FWC_LMB_14,LMBFLB,refLMBFLB,,,,,,,,,0.994,0.002,0.002,0.001,0.001,,,,,,,
FWC_LMB_15,LMBFLB,refLMBFLB,,,,,,,,,0.9929,0.001,0.001,0.0031,0.002,,,,,,,
FWC_LMB_16,LMBFLB,refLMBFLB,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,
FWC_LMB_17,LMBFLB,refLMBFLB,,,,,,,,,0.992,0.002,0.001,0.002,0.003,,,,,,,
FWC_LMB_18,LMBFLB,refLMBFLB,,,,,,,,,0.995,0.001,0.001,0.002,0.001,,,,,,,
FWC_LMB_19,LMBFLB,refLMBFLB,,,,,,,,,0.9801,0.004,0.008,0.0039,0.004,,,,,,,
FWC_LMB_20,LMBFLB,refLMBFLB,,,,,,,,,0.9865,0.004,0.004,0.0029,0.0026,,,,,,,
FWC_LMB_21,LMBFLB,refLMBFLB,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,
FWC_LMB_22,LMBFLB,refLMBFLB,,,,,,,,,0.9559,0.0331,0.002,0.003,0.006,,,,,,,
FWC_ALB_1,ALB,refALB,,,,,,,,,0.001,0.991,0.002,0.003,0.003,,,,,,,
FWC_ALB_2,ALB,refALB,,,,,,,,,0.001,0.9774,0.002,0.004,0.0156,,,,,,,
FWC_ALB_3,ALB,refALB,,,,,,,,,0.005,0.9887,0.002,0.0013,0.003,,,,,,,
FWC_ALB_4,ALB,refALB,,,,,,,,,0.002,0.9876,0.003,0.0044,0.003,,,,,,,
FWC_ALB_5,ALB,refALB,,,,,,,,,0.002,0.9466,0.007,0.0064,0.038,,,,,,,
FWC_ALB_6,ALB,refALB,,,,,,,,,0.001,0.992,0.002,0.002,0.003,,,,,,,
FWC_ALB_7,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_8,ALB,refALB,,,,,,,,,0.001,0.993,0.002,0.001,0.003,,,,,,,
FWC_ALB_9,ALB,refALB,,,,,,,,,0.004,0.968,0.004,0.003,0.021,,,,,,,
FWC_ALB_10,ALB,refALB,,,,,,,,,0.001,0.9943,0.0015,0.001,0.0022,,,,,,,
FWC_ALB_11,ALB,refALB,,,,,,,,,0.0608,0.8928,0.002,0.002,0.0424,,,,,,,
FWC_ALB_12,ALB,refALB,,,,,,,,,0.001,0.9741,0.007,0.009,0.0089,,,,,,,
FWC_ALB_13,ALB,refALB,,,,,,,,,0.002,0.991,0.003,0.002,0.002,,,,,,,
FWC_ALB_14,ALB,refALB,,,,,,,,,0.002,0.9875,0.0024,0.002,0.0061,,,,,,,
FWC_ALB_15,ALB,refALB,,,,,,,,,0.001,0.993,0.002,0.002,0.002,,,,,,,
FWC_ALB_16,ALB,refALB,,,,,,,,,0.001,0.9871,0.0022,0.002,0.0077,,,,,,,
FWC_ALB_17,ALB,refALB,,,,,,,,,0.001,0.991,0.002,0.002,0.004,,,,,,,
FWC_ALB_18,ALB,refALB,,,,,,,,,0.002,0.9902,0.0028,0.002,0.003,,,,,,,
FWC_ALB_19,ALB,refALB,,,,,,,,,0.002,0.9866,0.006,0.0024,0.003,,,,,,,
FWC_ALB_20,ALB,refALB,,,,,,,,,0.001,0.992,0.003,0.002,0.002,,,,,,,
FWC_ALB_21,ALB,refALB,,,,,,,,,0.001,0.984,0.004,0.006,0.005,,,,,,,
FWC_ALB_22,ALB,refALB,,,,,,,,,0.001,0.9627,0.003,0.003,0.0303,,,,,,,
FWC_ALB_23,ALB,refALB,,,,,,,,,0.001,0.9851,0.01,0.0019,0.002,,,,,,,
FWC_ALB_24,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_25,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_26,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_27,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_28,ALB,refALB,,,,,,,,,0.001,0.986,0.01,0.001,0.002,,,,,,,
FWC_ALB_29,ALB,refALB,,,,,,,,,0.001,0.993,0.003,0.001,0.002,,,,,,,
FWC_ALB_30,ALB,refALB,,,,,,,,,0.001,0.9788,0.0162,0.002,0.002,,,,,,,
FWC_ALB_31,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_32,ALB,refALB,,,,,,,,,0.0018,0.9781,0.002,0.002,0.0161,,,,,,,
FWC_ALB_33,ALB,refALB,,,,,,,,,0.001,0.9954,0.001,0.001,0.0016,,,,,,,
FWC_ALB_34,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_35,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_36,ALB,refALB,,,,,,,,,0.003,0.991,0.002,0.002,0.002,,,,,,,
FWC_ALB_37,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_38,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_39,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_40,ALB,refALB,,,,,,,,,0.037,0.9579,0.0014,0.0017,0.002,,,,,,,
FWC_ALB_41,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_42,ALB,refALB,,,,,,,,,0.013,0.9704,0.002,0.002,0.0126,,,,,,,
FWC_ALB_43,ALB,refALB,,,,,,,,,0.001,0.993,0.002,0.002,0.002,,,,,,,
FWC_ALB_44,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_45,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_46,ALB,refALB,,,,,,,,,0.001,0.992,0.002,0.003,0.002,,,,,,,
FWC_ALB_47,ALB,refALB,,,,,,,,,0.001,0.994,0.002,0.001,0.002,,,,,,,
FWC_ALB_48,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_49,ALB,refALB,,,,,,,,,0.001,0.9951,0.001,0.0011,0.0018,,,,,,,
FWC_ALB_50,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_51,ALB,refALB,,,,,,,,,0.001,0.9843,0.002,0.003,0.0097,,,,,,,
FWC_ALB_52,ALB,refALB,,,,,,,,,0.001,0.9946,0.0015,0.001,0.0019,,,,,,,
FWC_ALB_53,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_54,ALB,refALB,,,,,,,,,0.001,0.994,0.002,0.001,0.002,,,,,,,
FWC_ALB_55,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_56,ALB,refALB,,,,,,,,,0.002,0.985,0.002,0.002,0.009,,,,,,,
FWC_ALB_57,ALB,refALB,,,,,,,,,0.003,0.99,0.003,0.002,0.002,,,,,,,
FWC_ALB_58,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_59,ALB,refALB,,,,,,,,,0.002,0.9936,0.0011,0.0013,0.002,,,,,,,
FWC_ALB_60,ALB,refALB,,,,,,,,,0.0014,0.9946,0.001,0.001,0.002,,,,,,,
FWC_ALB_61,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
FWC_ALB_62,ALB,refALB,,,,,,,,,0.001,0.994,0.002,0.001,0.002,,,,,,,
FWC_ALB_63,ALB,refALB,,,,,,,,,0.001,0.995,0.001,0.001,0.002,,,,,,,
Coosa2016_145,REB,refREB,,,,,,,,,0.001,0.0011,0.9959,0.001,0.001,,,,,,,
Coosa2016_148,REB,refREB,,,,,,,,,0.001,0.0024,0.9939,0.0017,0.001,,,,,,,
Coosa2016_150,REB,refREB,,,,,,,,,0.001,0.004,0.992,0.002,0.001,,,,,,,
Coosa2016_152,REB,refREB,,,,,,,,,0.001,0.003,0.993,0.002,0.001,,,,,,,
Coosa2016_156,REB,refREB,,,,,,,,,0.001,0.0164,0.9776,0.002,0.003,,,,,,,
Coosa2016_182,REB,refREB,,,,,,,,,0.001,0.002,0.993,0.002,0.002,,,,,,,
Coosa2016_183,REB,refREB,,,,,,,,,0.001,0.002,0.9945,0.0015,0.001,,,,,,,
Coosa2016_184,REB,refREB,,,,,,,,,0.001,0.003,0.992,0.002,0.002,,,,,,,
