Lanier1 SHB vs ALB wild dataset for hybriddetective
MSA_05
MSA_06
MSA_08
MSA_09
MSA_10
MSA_12
MSA_13
MSA_17
MSA_22
MSA_24
MSA_25
MSA_27
MSA_28
MSA_29
MSA_31
MSA_32
Pop
001_01_ALB ,  132132 108108 000000 155155 130130 180180 196200 087087 151151 114114 199201 086126 178180 128128 238238 285303
002_01_ALB ,  130132 104108 116118 155155 134134 180180 196200 087093 159159 114114 201201 086086 180180 126126 238238 297303
003_01_ALB ,  132132 108108 116118 155155 130134 180180 196200 093095 159159 114114 201201 126126 180180 126126 238238 285303
004_01_ALB ,  130132 106108 118118 155155 134134 180180 196196 087087 159159 114114 201201 086086 180180 126126 238238 287297
005_01_ALB ,  130132 104106 118118 155155 130132 180180 196196 087095 159159 114114 199201 086086 180180 126128 238238 297303
006_01_ALB ,  132132 106108 118118 155155 132134 180180 196200 085095 151151 114114 201201 086086 180180 126126 238238 301303
007_01_ALB ,  130130 104106 118118 155155 132134 180180 196196 093095 151159 114114 199201 086086 180180 000000 238238 295297
008_01_ALB ,  130132 104108 118118 155155 132134 180180 196200 087095 159159 114114 201201 086086 180180 128128 238238 285297
009_01_ALB ,  132132 108108 114118 155155 130130 180180 200200 085093 159159 114114 201201 086086 180180 126126 238238 301303
010_01_ALB ,  130130 106106 000000 155155 134134 180180 196200 093095 151159 114114 201201 086086 180180 126126 238238 297303
011_01_ALB ,  130132 106108 118118 155155 130132 180180 196196 087091 151151 114114 201201 086086 180180 112112 238238 285297
012_01_ALB ,  130140 104106 118118 155155 130134 180180 196196 087093 151159 114114 201201 086126 180180 126126 238238 285297
013_01_ALB ,  132132 108108 118118 155155 130132 180180 196196 085095 151159 114114 201203 086126 178180 128128 238238 297303
014_01_ALB ,  130132 104108 118118 155155 130130 180180 196196 093095 151159 114114 201201 086126 178180 112112 238238 285287
015_01_ALB ,  132132 108108 118118 155155 130130 180180 196196 085093 151159 114114 201201 086086 180180 000000 238238 285297
016_01_ALB ,  130132 106108 118118 155155 130130 180180 198198 085095 159159 114114 199201 084086 180180 126126 238238 285297
017_01_ALB ,  132132 104108 118118 155155 132134 180180 196200 087087 151159 114114 201201 086086 180180 112112 238238 297297
018_01_HYB ,  130130 104106 116116 155155 130130 180180 196200 087095 151159 114114 199201 086086 180180 126126 238238 297297
019_01_SHB ,  132132 116116 116116 155155 132132 180180 178178 089089 161167 114114 201201 122124 178178 140174 238238 285287
020_01_SHB ,  132136 118118 116116 155155 130132 180180 178178 093105 167167 114114 201203 110126 178178 158164 238238 287289
021_02_ALB ,  130132 106108 118118 155155 132132 180180 196200 085095 151159 114114 199201 086086 180180 112126 238238 297297
022_02_ALB ,  132132 108108 118118 155155 130130 180180 196196 093095 151151 114114 199201 086086 180180 112126 238238 297303
023_02_ALB ,  130132 104108 118118 155155 130134 180180 196200 093095 159159 114114 199201 086086 180180 126126 238238 285285
024_02_ALB ,  130132 106108 114116 155155 130130 180180 196196 085087 151159 114114 201201 084086 180180 126126 238238 285297
025_02_ALB ,  130132 106108 118118 155155 130132 180180 196200 085095 159159 114114 199199 086126 180180 126126 238238 285297
026_02_ALB ,  130132 106108 116118 155155 130132 180180 196196 087095 151151 114114 199201 086126 180180 126126 238238 285297
027_02_ALB ,  132132 108108 118118 155155 132134 180180 196200 093093 151159 114114 199199 086180 180180 126126 238238 295297
028_02_ALB ,  130130 104108 116118 155155 130130 180180 196200 085087 151159 114114 199201 086086 180180 126126 238238 285297
