Samp,Newhyb Run1?,1_P1_ALB,1_P2_SHB,1_F1,1_F2,1_BCALB,1_BCSHB,Newhybs1_assign,Newhyb Run2?,2_P1_ALB,2_P2_CHB,2_F1,2_F2,2_BCALB,2_BCCHB,Newhybs2_assign,Newhyb Run3?,3_P1_SHB,3_P2_REB,3_F1,3_F2,3_BCSHB,3_BCREB,Newhybs3_assign,No Newhyb?,Final_NH_assign
205_08_SHB,1,0,0.99895,0,0,0,0.00105,SHB,,,,,,,,,3,0.99915,0,0,0.00002,0.00082,0,SHB,,SHB
206_08_SHB,1,0,0.9997,0,0,0,0.0003,SHB,,,,,,,,,3,0.9997,0,0,0,0.00029,0,SHB,,SHB
207_08_SHB,1,0,0.99993,0,0,0,0.00007,SHB,,,,,,,,,3,0.99966,0,0,0.00001,0.00033,0,SHB,,SHB
208_08_SHB,1,0,0.9999,0,0,0,0.0001,SHB,,,,,,,,,3,0.99976,0,0,0,0.00024,0,SHB,,SHB
209_08_SHB,1,0,0.99995,0,0,0,0.00005,SHB,,,,,,,,,3,0.99865,0,0.00002,0.00004,0.00129,0,SHB,,SHB
210_08_SHB,1,0,0.99994,0,0,0,0.00006,SHB,,,,,,,,,3,0.9999,0,0,0,0.0001,0,SHB,,SHB
211_08_SHB,1,0,0.9999,0,0,0,0.0001,SHB,,,,,,,,,3,0.99991,0,0,0,0.00008,0,SHB,,SHB
212_08_SHB,1,0,0.99995,0,0,0,0.00005,SHB,,,,,,,,,3,0.99812,0,0,0.00003,0.00184,0,SHB,,SHB
213_08_SHB,1,0,0.99997,0,0,0,0.00003,SHB,,,,,,,,,3,0.997,0,0.00002,0.00051,0.00247,0,SHB,,SHB
214_08_SHB,1,0,0.99898,0,0,0,0.00101,SHB,,,,,,,,,3,0.99939,0,0,0.00002,0.00059,0,SHB,,SHB
215_08_SHB,1,0,0.99965,0,0,0,0.00035,SHB,,,,,,,,,3,0.99965,0,0,0.00001,0.00034,0,SHB,,SHB
216_08_SHB,1,0,0.99992,0,0,0,0.00008,SHB,,,,,,,,,3,0.99992,0,0,0,0.00007,0,SHB,,SHB
217_08_SHB,1,0,0.99962,0,0,0,0.00038,SHB,,,,,,,,,3,0.99967,0,0,0,0.00032,0,SHB,,SHB
218_08_SHB,1,0,0.99991,0,0,0,0.00009,SHB,,,,,,,,,3,0.99969,0,0,0.00001,0.0003,0,SHB,,SHB
219_08_SHB,1,0,0.9994,0,0,0,0.00059,SHB,,,,,,,,,3,0.99725,0,0.00006,0.00009,0.00261,0,SHB,,SHB
220_08_SHB,1,0,0.99821,0,0.00001,0,0.00178,SHB,,,,,,,,,3,0.99964,0,0,0.00001,0.00036,0,SHB,,SHB
221_08_SHB,,,,,,,,,,,,,,,,,3,0,0.00001,0.65102,0.12082,0.22435,0.0038,F1 SHB x REB,,F1 SHB x REB
222_08_SHB,,,,,,,,,,,,,,,,,3,0,0.00001,0.86361,0.05379,0.07722,0.00537,F1 SHB x REB,,F1 SHB x REB
224_08_SHB,1,0,0.99996,0,0,0,0.00004,SHB,,,,,,,,,3,0.99982,0,0,0,0.00018,0,SHB,,SHB
225_08_SHB,1,0,0.99991,0,0,0,0.00009,SHB,,,,,,,,,3,0.99987,0,0,0,0.00013,0,SHB,,SHB
