Samp,Newhyb Run1?,1_P1_ALB,1_P2_SHB,1_F1,1_F2,1_BCALB,1_BCSHB,Newhybs1_assign,Newhyb Run2?,2_P1_ALB,2_P2_CHB,2_F1,2_F2,2_BCALB,2_BCCHB,Newhybs2_assign,Newhyb Run3?,3_P1_SHB,3_P2_REB,3_F1,3_F2,3_BCSHB,3_BCREB,Newhybs3_assign,No Newhyb?,Final_NH_assign
121_05_ALB,1,0.99995,0,0,0,0.00005,0,ALB,2,0.99975,0,0,0,0.00025,0,ALB,,,,,,,,,,ALB
122_05_ALB,1,0.99888,0,0,0.00002,0.0011,0,ALB,2,0.99982,0,0,0,0.00018,0,ALB,,,,,,,,,,ALB
123_05_ALB,1,0.99988,0,0,0,0.00012,0,ALB,2,0.99993,0,0,0,0.00007,0,ALB,,,,,,,,,,ALB
124_05_ALB,1,0.99992,0,0,0,0.00008,0,ALB,2,0.99985,0,0,0,0.00015,0,ALB,,,,,,,,,,ALB
125_05_ALB,1,0.99996,0,0,0,0.00004,0,ALB,2,0.99991,0,0,0,0.00009,0,ALB,,,,,,,,,,ALB
126_05_ALB,1,0.99977,0,0,0,0.00023,0,ALB,2,0.99989,0,0,0,0.00011,0,ALB,,,,,,,,,,ALB
127_05_ALB,1,0.99992,0,0,0,0.00007,0,ALB,2,0.99978,0,0,0,0.00022,0,ALB,,,,,,,,,,ALB
128_05_ALB,1,0.99995,0,0,0,0.00005,0,ALB,2,0.99991,0,0,0,0.00009,0,ALB,,,,,,,,,,ALB
129_06_ALB,1,0.99994,0,0,0,0.00006,0,ALB,2,0.99994,0,0,0,0.00006,0,ALB,,,,,,,,,,ALB
130_06_ALB,1,0.99961,0,0,0,0.00039,0,ALB,2,0.9998,0,0,0,0.00019,0,ALB,,,,,,,,,,ALB
131_06_ALB,1,0.9998,0,0,0,0.00019,0,ALB,2,0.99993,0,0,0,0.00007,0,ALB,,,,,,,,,,ALB
132_06_ALB,1,0.99989,0,0,0,0.00011,0,ALB,2,0.99993,0,0,0,0.00007,0,ALB,,,,,,,,,,ALB
133_06_ALB,1,0.99998,0,0,0,0.00002,0,ALB,2,0.99984,0,0,0,0.00016,0,ALB,,,,,,,,,,ALB
134_06_ALB,1,0.99996,0,0,0,0.00004,0,ALB,2,0.99976,0,0,0,0.00024,0,ALB,,,,,,,,,,ALB
135_06_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99977,0,0,0,0.00023,0,ALB,,,,,,,,,,ALB
136_06_ALB,1,0.99993,0,0,0,0.00007,0,ALB,2,0.99994,0,0,0,0.00006,0,ALB,,,,,,,,,,ALB
137_06_ALB,1,0.99998,0,0,0,0.00002,0,ALB,2,0.99997,0,0,0,0.00003,0,ALB,,,,,,,,,,ALB
138_06_ALB,1,0.99991,0,0,0,0.00009,0,ALB,2,0.99994,0,0,0,0.00006,0,ALB,,,,,,,,,,ALB
139_06_ALB,1,0.99636,0,0,0.00016,0.00349,0,ALB,2,0.99907,0,0,0.00006,0.00087,0,ALB,,,,,,,,,,ALB
141_06_ALB,1,0.99993,0,0,0,0.00006,0,ALB,2,0.99995,0,0,0,0.00005,0,ALB,,,,,,,,,,ALB
142_06_ALB,1,0.99992,0,0,0,0.00008,0,ALB,2,0.99994,0,0,0,0.00006,0,ALB,,,,,,,,,,ALB
143_06_ALB,1,0.99985,0,0,0,0.00015,0,ALB,2,0.99987,0,0,0,0.00012,0,ALB,,,,,,,,,,ALB
144_06_ALB,1,0.99986,0,0,0,0.00014,0,ALB,2,0.99991,0,0,0,0.00009,0,ALB,,,,,,,,,,ALB
145_06_ALB,1,0.99931,0,0,0.00001,0.00068,0,ALB,2,0.99989,0,0,0,0.00011,0,ALB,,,,,,,,,,ALB
146_06_ALB,1,0.99992,0,0,0,0.00008,0,ALB,2,0.99985,0,0,0,0.00015,0,ALB,,,,,,,,,,ALB
147_06_ALB,1,0.99996,0,0,0,0.00004,0,ALB,2,0.99986,0,0,0,0.00013,0,ALB,,,,,,,,,,ALB
148_06_ALB,1,0.99995,0,0,0,0.00005,0,ALB,2,0.99996,0,0,0,0.00004,0,ALB,,,,,,,,,,ALB
149_06_ALB,1,0.99992,0,0,0,0.00008,0,ALB,2,0.99995,0,0,0,0.00005,0,ALB,,,,,,,,,,ALB
150_06_ALB,1,0.99994,0,0,0,0.00005,0,ALB,2,0.99997,0,0,0,0.00003,0,ALB,,,,,,,,,,ALB
151_06_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99985,0,0,0,0.00015,0,ALB,,,,,,,,,,ALB
152_06_ALB,1,0.99998,0,0,0,0.00002,0,ALB,2,0.99993,0,0,0,0.00007,0,ALB,,,,,,,,,,ALB
153_06_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99994,0,0,0,0.00006,0,ALB,,,,,,,,,,ALB
154_06_ALB,1,0.99992,0,0,0,0.00008,0,ALB,2,0.99991,0,0,0,0.00008,0,ALB,,,,,,,,,,ALB
155_06_HYB,1,0,0.99995,0,0,0,0.00005,SHB,,,,,,,,,3,0.99969,0,0,0.00001,0.0003,0,SHB,,SHB
156_06_HYB,1,0,0.99997,0,0,0,0.00003,SHB,,,,,,,,,3,0.99987,0,0,0,0.00013,0,SHB,,SHB
157_06_REB,,,,,,,,,,,,,,,,,3,0,0.00008,0.98123,0.00616,0.00122,0.01132,F1 SHB x REB,,F1 SHB x REB
158_06_REB,,,,,,,,,,,,,,,,,3,0,0.00022,0.98114,0.00322,0.00039,0.01503,F1 SHB x REB,,F1 SHB x REB
159_06_SHB,1,0,0.99993,0,0,0,0.00007,SHB,,,,,,,,,3,0.99992,0,0,0,0.00008,0,SHB,,SHB
160_06_SHB,1,0,0.99884,0,0.00001,0,0.00115,SHB,,,,,,,,,3,0.99944,0,0,0.00001,0.00055,0,SHB,,SHB
161_06_SHB,1,0,0.99912,0,0,0,0.00087,SHB,,,,,,,,,3,0.99922,0,0,0.00001,0.00077,0,SHB,,SHB
