Tenkiller Neo vs TNSMB for hybriddetective
Msaf1
Msaf14
Msaf17
Msaf5
Mdo3
Msaf6
Msaf29
Pop
80_3_SPRMO_022 ,  137153 173225 106134 125129 117117 108108 148156
81_4_NOIS_001 ,  121125 173219 102116 125137 111117 108120 138174
82_4_NOIS_002 ,  129153 173175 104112 143145 117123 106108 166184
83_4_NOIS_003 ,  125125 175209 102118 125129 117119 106108 138164
84_4_NOIS_004 ,  135153 183261 102114 129143 117119 108116 120122
85_4_NOIS_005 ,  125125 175183 106108 127129 117123 106108 120162
86_4_NOIS_006 ,  129137 173225 106112 125131 117117 108108 162166
87_4_NOIS_007 ,  127167 173173 102112 129147 117119 106108 170174
88_4_NOIS_008 ,  125125 181183 102108 129129 117117 108108 120162
89_4_NOIS_009 ,  125153 175247 114126 143143 117129 108114 120164
90_4_NOIS_010 ,  125125 183261 102124 125131 117123 108108 138196
91_4_NOIS_011 ,  135183 173175 104116 131157 117117 106108 120122
92_4_NOIS_012 ,  137161 173173 108126 125125 117117 102108 186186
93_4_NOIS_013 ,  125137 183183 106110 129147 123123 108114 138154
94_4_NOIS_014 ,  123137 177183 106112 125131 117117 108108 120120
95_4_NOIS_015 ,  135153 175175 108108 125145 117117 108122 162168
96_4_NOIS_016 ,  125125 173177 112120 129131 117117 106108 138138
97_4_NOIS_017 ,  125125 173209 102110 125125 117117 108108 138196
98_4_NOIS_018 ,  127141 175243 100102 125127 117119 106118 196198
100_4_NOIS_020 ,  127127 171173 102108 125129 117117 108110 164170
101_4_NOIS_021 ,  119125 173175 108108 125149 117123 108108 138166
102_4_NOIS_022 ,  125153 175247 112114 129143 117129 106114 120122
103_4_NOIS_023 ,  125161 171173 102116 125129 117117 108108 120120
104_4_NOIS_024 ,  135135 175185 104112 129129 117117 108118 152152
105_4_NOIS_025 ,  125137 173183 112114 129129 117117 108108 154162
106_4_NOIS_026 ,  125127 201213 104112 129129 117117 108108 120164
107_4_NOIS_027 ,  125137 173183 104118 129137 117117 108108 192194
108_4_NOIS_028 ,  121129 171173 104114 129147 117123 108178 142164
109_4_NOIS_029 ,  125153 175205 112126 129143 117129 106114 154164
110_4_NOIS_030 ,  137153 183185 102114 143145 117117 114122 166174
111_4_NOIS_031 ,  125125 171219 102116 125143 117117 108108 174174
112_4_NOIS_032 ,  121123 177181 108112 129129 117117 110110 162186
113_4_NOIS_033 ,  125137 173209 102134 129129 117119 106116 126180
114_4_NOIS_035 ,  125125 173173 102112 125137 117117 108120 196200
115_4_NOIS_036 ,  121175 173209 112116 129137 117119 108126 120198
116_4_NOIS_037 ,  129153 173175 102112 133143 117117 108126 166184
117_4_NOIS_038 ,  125127 173185 102120 125129 117117 108116 162162
118_4_NOIS_039 ,  125125 173175 102118 129145 117117 108122 120138
119_4_NOIS_040 ,  125125 171175 102112 129159 117117 108122 120184
120_4_NOIS_041 ,  119119 175227 102104 125129 117123 106108 120198
121_4_NOIS_042 ,  123125 173173 112120 129129 111117 108110 158186
122_4_NOIS_043 ,  125153 175205 114126 129145 117129 106114 120122
125_4_NOIS_046 ,  125125 175183 110114 129149 117123 106106 126126
126_4_NOIS_047 ,  125125 175183 106108 129137 123123 108108 146146
127_4_NOIS_048 ,  121121 173219 102116 143145 111117 108122 140140
128_4_NOIS_049 ,  125125 183209 102124 137149 117117 108108 164164
129_4_NOIS_050 ,  127129 173175 102108 131131 105123 108122 162162
130_5_BFORK_001 ,  127135 173175 106112 125131 117117 108108 120120
131_5_BFORK_002 ,  125125 173175 102104 129131 117117 108108 162166
132_5_BFORK_003 ,  125145 173173 110120 129131 117117 108148 162162
133_5_BFORK_004 ,  167171 173175 100102 125129 117117 108110 120194
134_5_BFORK_005 ,  125135 173173 106110 129131 117119 108108 158162
135_5_BFORK_006 ,  125161 173173 102112 129129 117117 106110 120164
136_5_BFORK_007 ,  167167 173175 108108 131143 117117 110122 158198
137_5_BFORK_008 ,  125135 173175 102106 125145 117117 108130 154158
138_5_BFORK_009 ,  135153 175209 000000 129143 117129 106114 122154
139_5_BFORK_010 ,  125167 173175 102102 125129 117117 106110 180184
140_5_BFORK_011 ,  125167 173185 120120 131149 117117 108108 166168
141_6_BFORK_033 ,  123135 173227 102104 129129 117117 108108 120166
142_6_BFORK_034 ,  125125 173173 102102 129129 117117 106108 120120
143_6_BFORK_035 ,  135161 173173 100102 125129 117117 108108 122164
144_6_BFORK_036 ,  125145 171173 102112 129145 117117 106122 166186
145_6_BFORK_037 ,  125125 173175 100106 129129 117117 106108 122158
146_6_BFORK_038 ,  125125 175175 102106 129129 117117 108108 120166
147_6_BFORK_039 ,  127135 173197 106120 131143 119129 108114 158184
148_6_BFORK_040 ,  123135 173175 102104 129129 117117 106108 158162
149_6_BFORK_041 ,  125129 173175 108116 129131 117117 108108 120168
150_6_BFORK_042 ,  127141 171173 102102 125129 117117 108108 162164
151_6_BFORK_043 ,  137167 173175 100102 127157 117117 106116 120194
152_6_BFORK_044 ,  135167 173175 102104 125131 117117 108110 166186
153_7_BFORK_021 ,  125125 173219 102106 125129 117117 108108 144194
154_7_BFORK_022 ,  125133 171175 102126 129131 117117 106108 158188
155_7_BFORK_023 ,  135145 175175 102108 125131 117117 108108 120166
156_7_BFORK_024 ,  161161 173243 100102 129147 117117 106178 138138
157_7_BFORK_025 ,  125125 173173 106108 129143 117117 108108 164186
158_7_BFORK_026 ,  125161 173173 102102 125157 117117 106110 160194
159_7_BFORK_027 ,  125125 173175 102118 125129 117117 108108 186198
160_7_BFORK_028 ,  125135 173175 102102 125129 117117 110110 164186
